country_code,decade,geo_change,longrun_effect
BRA,1980s,-0.10696194549457269,-7.640220702270022
BRA,1990s,0.0904009237072256,6.457277918970944
BRA,2000s,0.017605216968439585,1.257528951332066
BRA,2010s,0.026198628997765094,1.8713506632129553
BRA,2020-2024,0.05987427156933223,4.276779438352315
BRB,1960s,0.08324882389613467,5.946408181245659
BRB,1970s,0.024911792388192716,1.7794327791520983
BRB,1980s,0.029913730429762614,2.1367178902256754
BRB,1990s,0.003688954550978424,0.26349957267324253
BRB,2000s,0.04684927192435456,3.3464123673862445
BRB,2010s,-0.042952345536374614,-3.0680575045703145
BRB,2020-2024,0.0715947902728381,5.113968302352664
BRN,1960s,0.0505413609902861,3.6101358363800484
BRN,1970s,0.012641796533629304,0.9029951273186297
BRN,1980s,0.1358825849861625,9.706002766581335
BRN,1990s,0.1052641477476911,7.5189481372094855
BRN,2000s,0.012968550936181156,0.9263349772006721
BRN,2010s,0.012674821510608392,0.9053540794827938
BRN,2020-2024,0.022124035621193416,1.580305165442023
BTN,1960s,0.038110250435304305,2.722189868538631
BTN,1970s,-0.12154247537892221,-8.681698264756264
BTN,1980s,0.1377480553273369,9.839252073652272
BTN,1990s,-0.10796012608417341,-7.711520078604369
BTN,2000s,0.14880684459404558,10.629174043628375
BTN,2010s,-0.07949427249864052,-5.678223069407664
BTN,2020-2024,0.0788623287630639,5.6330837482322895
BWA,1960s,0.30823029017289477,22.016684842041677
BWA,1970s,-0.11323283867129849,-8.088146435567152
BWA,1980s,0.07299152119182292,5.213735863922212
BWA,1990s,-0.02646514650615661,-1.8903878317658929
BWA,2000s,0.03140262579599251,2.2430686970288365
BWA,2010s,-0.08296844924246238,-5.92638120601186
BWA,2020-2024,0.0399052749826484,2.850407279359726
CAF,1960s,-0.18561449524388432,-13.258320074924988
CAF,1970s,-0.253553296270706,-18.11114349443604
CAF,1980s,0.182526094331959,13.037717649687698
CAF,1990s,0.2376160445063573,16.9727561894534
CAF,2000s,0.009201486168541273,0.6572560436469195
CAF,2010s,0.0107358156644638,0.7668521801480607
CAF,2020-2024,-0.1805663517632636,-12.897734540038424
CAN,1960s,-0.067305078943213,-4.8075570721172625
CAN,1970s,0.12567573558411962,8.976934295118301
CAN,1980s,0.0349624759159467,2.497346425969663
CAN,1990s,-0.0369220780171714,-2.63731950212083
CAN,2000s,0.0321742110943698,2.298182522258656
CAN,2010s,-0.11542945622694481,-8.245049368157046
CAN,2020-2024,-0.046418871270913986,-3.3156691346647142
CHE,1960s,0.06369029326119119,4.549355332476563
CHE,1970s,0.019235606726903887,1.3739866085651238
CHE,1980s,-0.047332303775150075,-3.3809150115672155
CHE,1990s,-0.010040801764166996,-0.7172077990098875
CHE,2000s,-0.0812058142018367,-5.800477356136409
CHE,2010s,0.049118844752908675,3.5085264466492143
CHE,2020-2024,0.023520649151506312,1.6800643420167276
CHL,1960s,-0.07091275820314696,-5.06525120474966
CHL,1970s,-0.301657518295237,-21.547196113702054
CHL,1980s,0.1471070409539012,10.50775819894477
CHL,1990s,0.1491767289218166,10.655594635413745
CHL,2000s,0.08789199370943451,6.278066716135797
CHL,2010s,-0.04472364366414128,-3.1945801530045808
CHL,2020-2024,0.035616999041672925,2.5440985779819103
CHN,1960s,0.0289096623773218,2.0649979763322293
CHN,1970s,0.3682754436200641,26.305670259395747
CHN,1980s,-0.12982642641349312,-9.273415383384508
CHN,1990s,-0.04611302034064679,-3.293822405919915
CHN,2000s,-0.0219756986953821,-1.5697095573848359
CHN,2010s,-0.1012559542712069,-7.232645540186396
CHN,2020-2024,-0.010569385338039802,-0.7549641725061774
CIV,1960s,-0.15593129769225142,-11.138068995020465
CIV,1970s,0.04813250445945619,3.4380728148021653
CIV,1980s,0.05559684470272852,3.9712456791488613
CIV,1990s,-0.20155908332186448,-14.39723140791615
CIV,2000s,0.2423115479589705,17.308152881429763
CIV,2010s,0.2528488593515872,18.060826033323963
CIV,2020-2024,0.045827225465322086,3.2734082678546224
CMR,1960s,-0.0823662657082645,-5.8833676362486
CMR,1970s,-0.07613134842518329,-5.438011637132492
CMR,1980s,0.05693262808162319,4.066659798422684
CMR,1990s,-0.20142289786538553,-14.387503771240063
CMR,2000s,0.0820629357718016,5.86170098041632
CMR,2010s,-0.015098687121071125,-1.0784891896469726
CMR,2020-2024,0.059164352657333885,4.226070402131035
COD,1960s,0.0969295547069037,6.9236136937232216
COD,1970s,-0.034225194166109085,-2.4446828804211105
COD,1980s,0.0810758782530791,5.791196117644751
COD,1990s,-0.020466324568753913,-1.4618959663323006
COD,2000s,0.08882084603605211,6.344414020706239
COD,2010s,-0.14878966795380769,-10.627947127628163
COD,2020-2024,0.038544431679829405,2.7532031463695428
COG,1960s,-0.1151046129889598,-8.221846031490255
COG,1970s,0.1114887738121253,7.963569041415017
COG,1980s,0.18053137824231538,12.895236404673138
COG,1990s,-0.1997945470107046,-14.271191751549624
COG,2000s,0.07341269770118361,5.243820222160541
COG,2010s,-0.153839854503027,-10.98867859754733
COG,2020-2024,0.1251513137325735,8.9394751906828
COL,1960s,0.06427459265726282,4.591091450135501
COL,1970s,-0.06393632184346526,-4.566928990649561
COL,1980s,0.024825576987890507,1.7732744703891292
COL,1990s,-0.024522788210283086,-1.751646469174355
COL,2000s,0.009058924078384933,0.6470729282638265
COL,2010s,0.020824329060119884,1.4874679892961007
COL,2020-2024,-0.00528611969138737,-0.37758401751269816
COM,1960s,0.0163281757441487,1.1663107451339136
COM,1970s,0.1551894109860834,11.085076520500717
COM,1980s,-0.1314619903893216,-9.390242631526194
COM,1990s,-0.0182031455737564,-1.3002385943522816
COM,2000s,0.2700609408881131,19.290273581949542
COM,2010s,-0.05283573646546977,-3.7740215522131466
COM,2020-2024,0.048821286025839294,3.487272024469581
CPV,1960s,0.161963360793827,11.56893525472584
CPV,1970s,0.30503430176524315,21.788397513464677
