country_code,year,y_ext,delta_y_geo,region
LIE,2009,,-15.043597767194788,INL
LIE,2010,,-14.801025164749095,INL
LIE,2011,,-13.791743577275977,INL
LIE,2012,,-11.924956922525622,INL
LIE,2013,,-10.963641050300335,INL
LIE,2014,,-10.120858777214874,INL
LIE,2015,1202.686916633471,-9.759957851416193,INL
LIE,2016,,-9.009091918736273,INL
LIE,2017,,-8.929529749893529,INL
LIE,2018,,-8.794372570067253,INL
LIE,2019,,-8.979531052289456,INL
LIE,2020,,-9.001698181652507,INL
LIE,2021,,-8.852351116424407,INL
LIE,2022,,-8.63019669931971,INL
LIE,2023,,-8.514120451373945,INL
LIE,2024,,-7.901571932238524,INL
LKA,1960,559.9564208984375,0.48108965461478653,SAS
LKA,1961,561.84521484375,1.1258358579691827,SAS
LKA,1962,563.353515625,1.415008204876346,SAS
LKA,1963,563.6009521484375,1.4724242781494148,SAS
LKA,1964,565.1771240234375,0.8344969844285078,SAS
LKA,1965,565.40087890625,1.0788305260589888,SAS
LKA,1966,567.9940795898438,1.4201519625177834,SAS
LKA,1967,571.9168090820312,2.245277078403634,SAS
LKA,1968,575.2630615234375,2.9325394597689645,SAS
LKA,1969,580.469482421875,3.6613431172781485,SAS
LKA,1970,582.1084594726562,4.212097102054172,SAS
LKA,1971,581.3740844726562,4.683742939261931,SAS
LKA,1972,579.0206909179688,4.461393151814145,SAS
LKA,1973,583.9635009765625,4.3732589982753876,SAS
LKA,1974,585.8910522460938,4.487744125361871,SAS
LKA,1975,589.999267578125,4.240290801726121,SAS
LKA,1976,591.4429321289062,4.51214575377272,SAS
LKA,1977,594.5936889648438,4.768288893160593,SAS
LKA,1978,598.3048706054688,5.1198733851298295,SAS
LKA,1979,602.788818359375,5.589947890043328,SAS
LKA,1980,606.8316650390625,5.990726863079419,SAS
LKA,1981,610.8283081054688,5.925814779836962,SAS
LKA,1982,613.4202270507812,6.830646394912164,SAS
LKA,1983,616.710205078125,7.253315569107079,SAS
LKA,1984,620.2916259765625,7.233636512733645,SAS
LKA,1985,623.7758178710938,7.038945917086169,SAS
LKA,1986,626.6382446289062,6.974395616745276,SAS
LKA,1987,626.9552612304688,6.792485869362272,SAS
LKA,1988,628.0304565429688,7.118489878435998,SAS
LKA,1989,628.9891967773438,6.474993366884759,SAS
LKA,1990,633.9506225585938,5.603618202686646,SAS
LKA,1991,637.267822265625,5.0071966413241284,SAS
LKA,1992,640.4509887695312,4.497160175805539,SAS
LKA,1993,646.0877685546875,3.5765121555756836,SAS
LKA,1994,650.6253051757812,2.97311102728058,SAS
LKA,1995,655.2096557617188,2.049992505712183,SAS
LKA,1996,658.3316040039062,1.7390104145721617,SAS
LKA,1997,664.0634765625,1.2556957868907923,SAS
LKA,1998,668.211669921875,0.8427800767403141,SAS
LKA,1999,671.8834838867188,-0.0315719413199695,SAS
LKA,2000,676.9877319335938,-0.670013378720573,SAS
LKA,2001,674.4920043945312,-0.9736333247966964,SAS
LKA,2002,677.2643432617188,-0.8665416601261684,SAS
LKA,2003,681.8102416992188,-0.5842927587998906,SAS
LKA,2004,685.8770141601562,0.016148841719003576,SAS
LKA,2005,690.7559204101562,0.687686920307216,SAS
LKA,2006,697.0433959960938,0.8188627536213018,SAS
LKA,2007,702.57763671875,0.4748404947588609,SAS
LKA,2008,707.3681640625,-0.3999204266312464,SAS
LKA,2009,709.8963623046875,-1.600501946755237,SAS
LKA,2010,716.6838989257812,-2.764573172361957,SAS
LKA,2011,724.3775024414062,-3.513040585231726,SAS
LKA,2012,731.8966674804688,-4.033944936031426,SAS
LKA,2013,738.6680908203125,-4.365678908117173,SAS
LKA,2014,743.917724609375,-4.997581391491947,SAS
LKA,2015,747.1178588867188,-5.06717828506794,SAS
LKA,2016,750.9146728515625,-5.177573473890214,SAS
LKA,2017,756.0313110351562,-4.848312281312369,SAS
LKA,2018,757.3086547851562,-4.48561962312757,SAS
LKA,2019,756.47607421875,-4.1265488918561735,SAS
LKA,2020,751.2105712890625,-4.197513615612121,SAS
LKA,2021,754.2565307617188,-3.985518833167136,SAS
LKA,2022,746.510498046875,-3.780193166708236,SAS
LKA,2023,744.8043823242188,-3.520671565247138,SAS
LKA,2024,750.2423095703125,-3.387831335665532,SAS
LSO,1960,488.4511413574219,-0.5736893057460994,AFR
LSO,1961,488.5671081542969,-1.6551552768130275,AFR
LSO,1962,501.0363464355469,-2.5664013626166633,AFR
LSO,1963,509.2747802734375,-3.433021487829632,AFR
LSO,1964,515.3090209960938,-3.720197035420492,AFR
LSO,1965,515.5106201171875,-4.3616854564808865,AFR
LSO,1966,513.1347045898438,-3.7560294226114834,AFR
LSO,1967,521.480712890625,-2.23903538080011,AFR
LSO,1968,519.0753173828125,-0.9603838634541075,AFR
LSO,1969,518.5635375976562,0.2370220255109755,AFR
LSO,1970,518.667724609375,-0.3998385088332575,AFR
LSO,1971,521.6151733398438,-0.6198062528118562,AFR
LSO,1972,519.3687744140625,-0.3474914088614359,AFR
LSO,1973,540.708740234375,0.30919761558860864,AFR
LSO,1974,548.9295043945312,0.4368801546416896,AFR
LSO,1975,532.076416015625,0.20724556085844237,AFR
LSO,1976,540.086669921875,1.0950381956977333,AFR
LSO,1977,557.2402954101562,2.6736518375492135,AFR
LSO,1978,571.4130859375,3.340918295238123,AFR
LSO,1979,571.5884399414062,3.5754256575001553,AFR
LSO,1980,566.1317138671875,3.0654112669902673,AFR
LSO,1981,564.1561889648438,3.103643139449728,AFR
LSO,1982,564.0301513671875,3.6023182872719,AFR
LSO,1983,558.2003784179688,4.818898002579005,AFR
LSO,1984,565.6298828125,5.209855875789696,AFR
LSO,1985,568.1925659179688,5.659764388320157,AFR
LSO,1986,566.5994873046875,7.132418770610958,AFR
LSO,1987,557.1806640625,7.75270188383351,AFR
LSO,1988,563.7393188476562,7.900394521193118,AFR
LSO,1989,568.470703125,7.510711614956455,AFR
LSO,1990,572.9098510742188,6.801825181222491,AFR
LSO,1991,573.4201049804688,5.916508004547137,AFR
LSO,1992,578.7377319335938,5.172775546613263,AFR
LSO,1993,580.193359375,4.75291012394626,AFR
LSO,1994,583.8965454101562,3.973976922262953,AFR
LSO,1995,583.8040161132812,2.8012490922602855,AFR
LSO,1996,586.4559936523438,2.1084859172502624,AFR
LSO,1997,587.8868408203125,0.8631431508106774,AFR
LSO,1998,591.3324584960938,0.6093429919176432,AFR
LSO,1999,589.9676513671875,0.08187703896012861,AFR
LSO,2000,593.9580688476562,0.0026178152068258194,AFR
LSO,2001,596.7685546875,-0.7076684178366558,AFR
LSO,2002,596.7683715820312,-0.7579457415024693,AFR
LSO,2003,600.0958862304688,-0.27918676342752785,AFR
LSO,2004,601.4403076171875,0.025386195913198347,AFR
LSO,2005,603.197265625,-0.21378071643741647,AFR
LSO,2006,606.460205078125,-0.5402619525257776,AFR
LSO,2007,610.1036987304688,-0.6979666127124053,AFR
LSO,2008,614.3528442382812,-0.5089477117218496,AFR
LSO,2009,616.1561279296875,-0.33954995380957415,AFR
LSO,2010,620.60400390625,-0.15617330194708542,AFR
LSO,2011,624.2313842773438,-0.629298285456123,AFR
LSO,2012,629.3678588867188,-0.4336529752068283,AFR
LSO,2013,630.0615844726562,0.004641323039598209,AFR
LSO,2014,630.6173706054688,-0.15222307363270815,AFR
LSO,2015,632.5216064453125,-0.624751111206921,AFR
LSO,2016,634.8479614257812,-1.421928841299014,AFR
LSO,2017,630.41455078125,-1.6746456265043366,AFR
LSO,2018,627.7022094726562,-1.3195432716601387,AFR
LSO,2019,625.099365234375,-0.9302464356008767,AFR
LSO,2020,615.4072265625,-0.38234166721554996,AFR
LSO,2021,616.5005493164062,0.04311490652099102,AFR
LSO,2022,617.7798461914062,0.42127313914138487,AFR
LSO,2023,618.4866943359375,1.0883850527686134,AFR
LSO,2024,620.0950317382812,1.477322569706321,AFR
LTU,1960,,-0.5170819726467176,ECA
LTU,1961,,-1.5003591049055243,ECA
LTU,1962,,-2.1118730725206594,ECA
LTU,1963,,-2.5177192534262716,ECA
LTU,1964,,-2.677821467859109,ECA
LTU,1965,,-3.379442832637487,ECA
LTU,1966,,-4.365411627867542,ECA
LTU,1967,,-5.173272052968616,ECA
LTU,1968,,-6.06183787230811,ECA
LTU,1969,,-7.001494743311902,ECA
LTU,1970,,-7.977992485930689,ECA
LTU,1971,,-9.577939007770333,ECA
LTU,1972,,-9.87627742043255,ECA
LTU,1973,,-10.267662124784113,ECA
LTU,1974,,-10.114144577128181,ECA
LTU,1975,,-10.126264838485817,ECA
LTU,1976,,-9.963250528537724,ECA
LTU,1977,,-10.759353535379526,ECA
LTU,1978,,-11.499820378200996,ECA
LTU,1979,,-12.769781869415995,ECA
LTU,1980,,-13.839349388044626,ECA
LTU,1981,,-15.336834399964522,ECA
LTU,1982,,-16.215689531629888,ECA
LTU,1983,,-17.5649872646957,ECA
LTU,1984,,-18.1514636028673,ECA
LTU,1985,,-18.78336818775575,ECA
LTU,1986,,-19.14749491465506,ECA
LTU,1987,,-19.675523595517234,ECA
LTU,1988,,-20.18680285763812,ECA
LTU,1989,,-20.02923922209663,ECA
LTU,1990,836.42236328125,-19.3816653938878,ECA
LTU,1991,830.4091186523438,-18.009653921864132,ECA
LTU,1992,806.6171875,-16.211699427028293,ECA
LTU,1993,789.385498046875,-14.450815795504935,ECA
LTU,1994,779.8031005859375,-12.556018301798318,ECA
LTU,1995,783.8098754882812,-10.888943768672114,ECA
LTU,1996,789.623046875,-9.013346657954676,ECA
LTU,1997,797.5642700195312,-7.524476785185052,ECA
LTU,1998,805.6405029296875,-6.194767158658172,ECA
LTU,1999,805.2709350585938,-4.716721446116691,ECA
LTU,2000,809.1734008789062,-3.537904614891203,ECA
LTU,2001,816.2146606445312,-2.2424767158344716,ECA
LTU,2002,823.2045288085938,-0.4130026842934048,ECA
LTU,2003,833.3889770507812,1.0370346127153987,ECA
LTU,2004,841.0224609375,2.247832520405489,ECA
LTU,2005,849.1568603515625,3.3614902286873085,ECA
LTU,2006,857.30322265625,4.212064387547828,ECA
LTU,2007,867.2339477539062,4.606583379320318,ECA
LTU,2008,870.6392211914062,5.169635508574608,ECA
LTU,2009,855.2479858398438,5.426467241796292,ECA
LTU,2010,858.1526489257812,5.151285551482236,ECA
LTU,2011,866.5428466796875,5.366432630151572,ECA
LTU,2012,872.1279296875,5.7760595215587145,ECA
LTU,2013,877.032470703125,6.111575776727002,ECA
LTU,2014,881.5492553710938,6.2495822104839,ECA
LTU,2015,885.2367553710938,6.294514212231602,ECA
LTU,2016,889.0409545898438,6.166724293581246,ECA
LTU,2017,894.7628173828125,6.246434852499341,ECA
LTU,2018,900.3919677734375,6.284329917906578,ECA
LTU,2019,905.2514038085938,6.172129485606575,ECA
LTU,2020,905.3197631835938,5.6025007313151765,ECA
LTU,2021,911.5753173828124,4.972549940289027,ECA
LTU,2022,913.2564697265624,4.0838601815360756,ECA
LTU,2023,912.1973266601562,3.718151018249279,ECA
LTU,2024,914.3602294921876,3.331756638331425,ECA
LUX,1960,952.5956420898438,0.39292032290821827,INL
LUX,1961,955.4425048828124,1.188793435851676,INL
LUX,1962,955.567138671875,1.9720647007121594,INL
LUX,1963,957.909423828125,2.7820716697997483,INL
LUX,1964,964.3612670898438,3.1927050683757745,INL
LUX,1965,962.4859619140624,3.652904026558928,INL
LUX,1966,962.8659057617188,3.707108584227166,INL
LUX,1967,962.7536010742188,3.6255529731809566,INL
LUX,1968,966.5973510742188,3.326079563198451,INL
LUX,1969,975.6135864257812,2.9566016081471727,INL
LUX,1970,976.81396484375,3.178048686977239,INL
LUX,1971,978.4925537109376,3.709578079003701,INL
LUX,1972,983.669189453125,4.316021513051544,INL
LUX,1973,990.5497436523438,4.82314995181208,INL
LUX,1974,993.3718872070312,5.3894875390379084,INL
LUX,1975,985.4821166992188,5.743583832092224,INL
LUX,1976,987.489990234375,5.717838086214021,INL
LUX,1977,988.8738403320312,5.843070341544072,INL
LUX,1978,992.6885375976562,5.614548847956247,INL
LUX,1979,994.7728271484376,5.2539756470215035,INL
LUX,1980,995.2542114257812,5.445088374978115,INL
