country_code,decade,contemporaneous_effect
FRA,1970s,3.2019082131698937
FRA,1980s,-0.7710535825842803
FRA,1990s,-2.341616389876251
FRA,2000s,1.8198013273979419
FRA,2010s,-1.6440927041685731
FRA,2020-2024,0.11104444779259157
FSM,1960s,4.070706041999142
FSM,1970s,2.2022684904152996
FSM,1980s,1.999782951643011
FSM,1990s,0.08371207723467589
FSM,2000s,-0.8345594300219418
FSM,2010s,-0.8454547956157827
FSM,2020-2024,-0.8059174779440917
GAB,1960s,-8.681384974432321
GAB,1970s,6.22369108222503
GAB,1980s,1.559553061593842
GAB,1990s,-3.6603170565582865
GAB,2000s,1.1833489196775078
GAB,2010s,-0.24470716784225488
GAB,2020-2024,-0.3412659701281331
GBR,1960s,-1.3629721148632754
GBR,1970s,0.3258540129126473
GBR,1980s,2.559772272484116
GBR,1990s,-0.9864588480854907
GBR,2000s,0.9773598602153829
GBR,2010s,-2.800359448365444
GBR,2020-2024,0.8149923232894933
GEO,1960s,4.741122024981136
GEO,1970s,-1.5493658074789791
GEO,1980s,5.185102071163848
GEO,1990s,9.845124373893732
GEO,2000s,-1.3561591384397431
GEO,2010s,0.736004089238378
GEO,2020-2024,-1.1849009911542994
GHA,1960s,-3.406560439775319
GHA,1970s,-1.3864596645525533
GHA,1980s,3.9421122783997915
GHA,1990s,3.018701976705866
GHA,2000s,0.6887918144243899
GHA,2010s,-1.448623751708078
GHA,2020-2024,-0.08206875867452201
GIN,1960s,-4.896270345774221
GIN,1970s,3.6062941021693624
GIN,1980s,1.7394089144258877
GIN,1990s,1.045392673548823
GIN,2000s,-6.443597920069222
GIN,2010s,10.907037971791095
GIN,2020-2024,-2.7892675180412057
GMB,1960s,6.019914283905126
GMB,1970s,2.8647331679564383
GMB,1980s,1.419221400514744
GMB,1990s,-11.522047095736166
GMB,2000s,5.192415293948492
GMB,2010s,2.069771592536353
GMB,2020-2024,1.9511145016173026
GNB,1960s,-1.26621354156098
GNB,1970s,2.956444055421598
GNB,1980s,5.095487755634144
GNB,1990s,2.9748154041387407
GNB,2000s,-2.766814801908621
GNB,2010s,-1.143879143963819
GNB,2020-2024,0.6814680967901515
GNQ,1960s,2.093948979066894
GNQ,1970s,-5.71421708584447
GNQ,1980s,-3.375353416247939
GNQ,1990s,-3.846990476683768
GNQ,2000s,3.770903736734967
GNQ,2010s,-0.8635677344539516
GNQ,2020-2024,0.16842317336667967
GRC,1960s,-3.23273782663725
GRC,1970s,2.27758758441709
GRC,1980s,-5.677997350617286
GRC,1990s,0.5615432214594618
GRC,2000s,2.9103448057685375
GRC,2010s,0.11089891876588132
GRC,2020-2024,0.5251550027948045
GRD,1960s,-0.2613490042048714
GRD,1970s,4.372725831241521
GRD,1980s,2.992170025854541
GRD,1990s,1.759093112296466
GRD,2000s,4.141791184348403
GRD,2010s,-0.6654535255714266
GRD,2020-2024,-0.8793604968366868
GTM,1960s,1.2701968090223572
